area_id,level,x_min_dxf_mm,y_min_dxf_mm,x_max_dxf_mm,y_max_dxf_mm,line_h_count,line_v_count,cross3_count,cross4_count,task_ids
A-L2-A01,2,16817.59,16681.3,17892.54,17870.1,2,1,2,0,A-T00132;A-T00155;A-T00281;A-CROSS3-16898-16710;A-CROSS3-16898-17790
A-L2-A02,2,17812.54,16681.3,19252.54,17870.1,4,1,0,2,A-T00133;A-T00134;A-T00156;A-T00157;A-T00290;A-CROSS4-19073-16710;A-CROSS4-19073-17790
A-L2-A03,2,19252.54,16681.3,20692.54,17870.1,4,0,0,0,A-T00135;A-T00136;A-T00158;A-T00159
A-L2-A04,2,20692.54,16681.3,22132.54,17870.1,4,1,0,2,A-T00137;A-T00138;A-T00160;A-T00161;A-T00306;A-CROSS4-21593-16710;A-CROSS4-21593-17790
A-L2-A05,2,22052.54,16681.3,22932.54,17870.1,2,0,0,0,A-T00139;A-T00162
A-L2-A06,2,22852.54,16681.3,24292.54,17870.1,4,1,0,2,A-T00140;A-T00141;A-T00163;A-T00164;A-T00323;A-CROSS4-24113-16710;A-CROSS4-24113-17790
A-L2-A07,2,24292.54,16681.3,25732.54,17870.1,4,0,0,0,A-T00142;A-T00143;A-T00165;A-T00166
A-L2-A08,2,25732.54,16681.3,27172.54,17870.1,4,1,0,2,A-T00144;A-T00145;A-T00167;A-T00168;A-T00340;A-CROSS4-26633-16710;A-CROSS4-26633-17790
A-L2-A09,2,27092.54,16681.3,27972.54,17870.1,2,0,0,0,A-T00146;A-T00169
A-L2-A10,2,27892.54,16681.3,29332.54,17870.1,4,1,0,2,A-T00147;A-T00148;A-T00170;A-T00171;A-T00357;A-CROSS4-29153-16710;A-CROSS4-29153-17790
A-L2-A11,2,29332.54,16681.3,30772.54,17870.1,4,0,0,0,A-T00149;A-T00150;A-T00172;A-T00173
A-L2-A12,2,30772.54,16681.3,32212.54,17870.1,4,1,0,2,A-T00151;A-T00152;A-T00174;A-T00175;A-T00372;A-CROSS4-31673-16710;A-CROSS4-31673-17790
A-L2-A13,2,32132.54,16681.3,33012.54,17870.1,2,0,0,0,A-T00153;A-T00176
A-L2-A14,2,32852.54,16681.3,33927.59,17870.1,2,1,2,0,A-T00154;A-T00177;A-T00381;A-CROSS3-33848-16710;A-CROSS3-33848-17790
A-L3-A01,3,18092.54,20950.1,18972.54,21110.1,1,0,0,0,A-T00224
A-L3-A02,3,18892.54,20950.1,20332.54,22010.13,2,1,2,0,A-T00225;A-T00226;A-T00296;A-CROSS3-19073-21030;A-CROSS3-20153-21030
A-L3-A03,3,20332.54,20950.1,21772.54,22010.13,2,1,0,1,A-T00227;A-T00228;A-T00312;A-CROSS4-21593-21030
A-L3-A04,3,21772.54,20950.1,23212.54,21110.1,2,0,0,0,A-T00229;A-T00230
A-L3-A05,3,23132.54,20950.1,24012.54,21110.1,1,0,0,0,A-T00231
A-L3-A06,3,23932.54,20950.1,25372.54,22010.13,2,1,0,1,A-T00232;A-T00233;A-T00329;A-CROSS4-24113-21030
A-L3-A07,3,25372.54,20950.1,26812.54,22010.13,2,1,0,1,A-T00234;A-T00235;A-T00346;A-CROSS4-26633-21030
A-L3-A08,3,26812.54,20950.1,28252.54,21110.1,2,0,0,0,A-T00236;A-T00237
A-L3-A09,3,28252.54,20950.1,29692.54,22010.13,2,1,0,1,A-T00238;A-T00239;A-T00363;A-CROSS4-29153-21030
A-L3-A10,3,29612.54,20950.1,30492.54,21110.1,1,0,0,0,A-T00240
A-L3-A11,3,30412.54,20950.1,31852.54,22010.13,2,1,2,0,A-T00241;A-T00242;A-T00366;A-CROSS3-30593-21030;A-CROSS3-31673-21030
A-L3-A12,3,31772.54,20950.1,32652.54,21110.1,1,0,0,0,A-T00243
